ID,Q1,Q2,Q3,TARGET,cleaned_Q1,cleaned_Q2,cleaned_Q3,IND_TARGET,Q1_dominant_topic,Q2_dominant_topic,Q3_dominant_topic,Predicted
1,"My direct manager is very supportive and provides regular feedback. However, I sometimes feel like he doesn't give me the autonomy I need.",Treating employees fairly,,Yes,sometimes feel provide need feedback supportive give direct like management autonomy regular,fairly employee treat,,1,1,2,-1,1
2,Bien. Tout est bon.,,"C'est un bon leader, mais parfois il ne communique pas clairement.",No,good,,leadership sometimes good clearly communicate,0,5,-1,9,0
3,"Good leadership. Sometimes lacking in communication. Overall, I feel satisfied.",Regular team-building activities,Communication is the key to building an inclusive environment.,No,leadership sometimes good feel communication satisfied lack overall,teambuilding activity regular,key environment communication build inclusive,0,9,8,2,0
4,"I can't with the underpay! He's good, but the company should do something.",Supportive management,,Yes,good underway cant company,management supportive,,1,2,4,-1,1
5,"He's just...you know...okay? I guess? It's like he's there, but not really there.",,"Diversity should be celebrated, and we can start by acknowledging different cultural holidays and traditions.",Yes,like knowokay guess justyou,,holiday cultural celebrate start tradition different diversity acknowledge,1,1,-1,3,1
6,,Teamwork and collaboration,,Yes,,teamwork collaboration,,1,-1,6,-1,1
7,"I have so many things to say, but, you know, it's like, he's okay, he's okay, he's okay, he's okay. Nothing more.",,Creating diverse employee resource groups can foster a more inclusive workplace.,No,say know okay like nothing,,foster resource workplace create employee inclusive group diverse,0,6,-1,5,0
8,"I don't even know where to start. He's absent most of the time and when present, not much useful. I mean, he's okay, but could do more.",Providing professional development opportunities,Diversity training programs should be a part of the onboarding process for all employees.,Yes,present could absent know mean time okay start useful,opportunity development professional provide,process program employee diversity part training boarding,1,8,5,8,1
9,My manager is...good?,,,No,management isgood,,,0,6,-1,-1,0
10,"Supportive and encouraging. Though, would appreciate more clarity on tasks.",Open communication channels,Creating a culture of respect and empathy can foster inclusivity.,Yes,clarity appreciate supportive task encouraging,open channel communication,foster respect culture create inclusivity empathy,1,3,1,7,1
11,"Manager is good, satisfying performance. Expect more collaboration.",Promoting diversity in leadership roles,Promoting a diverse leadership team can set an example for a more inclusive work environment.,Yes,good collaboration performance satisfy management expect,diversity position promote leadership,leadership environment promote set team work example inclusive diverse,1,6,2,9,1
12,,,,No,,,,0,-1,-1,-1,0
13,dfgkhdfgk fdgfdkgj dfkgjdfkg...what was the question again?,Valuing employee feedback,Regular diversity and inclusion training can empower employees to create a more inclusive work environment.,Yes,question fdgfdkgj dfkgjdfkgwhat dfgkhdfgk,value feedback employee,inclusion empower regular environment employee create work diversity inclusive training,1,4,8,6,1
14,"He's very good. Like, very, very, very, very, very good.",Team collaboration,,Yes,good like,team collaboration,,1,5,7,-1,1
15,Strong leadership but I wish there was more personal connection.,,Creating an open forum for employees to share their thoughts on diversity and inclusion can lead to positive change.,No,leadership wish personal strong connection,,open leadership inclusion thought change create share employee forum positive diversity,0,7,-1,6,0
16,,Effective leadership,Diverse mentorship programs can help underrepresented employees advance in their careers and feel more included.,Yes,,leadership effective,feel help program mentorship underrepresented employee advance included career diverse,1,-1,9,4,1
17,"Mon directeur est assez distant, mais il fait son travail.",Supportive team atmosphere,,No,management job distant,team supportive atmosphere,,0,7,1,-1,0
18,He's supportive but can sometimes micromanage things which gets frustrating.,Effective leadership,Providing platforms for employees to share their experiences and suggestions for building an inclusive workplace can be beneficial.,No,sometimes frustrate supportive micromanage get,leadership effective,experience provide beneficial inclusive suggestion build workplace employee share platform,0,9,9,5,0
19,I think he needs to improve his management style. Needs to be more proactive.,,Creating resource groups dedicated to specific aspects of diversity and inclusion can be empowering for employees.,Yes,management proactive style need improve,,inclusion empower aspect resource specific create employee dedicate diversity group,1,9,-1,6,1
20,,Positive work environment,Offering,Yes,,work environment positive,offering,1,-1,5,1,1
21,"My direct manager is very supportive and provides regular feedback. However, I sometimes feel like he doesn't give me the autonomy I need.",Treating employees fairly,,Yes,sometimes feel provide need feedback supportive give direct like management autonomy regular,fairly employee treat,,1,1,2,-1,1
22,Bien. Tout est bon.,,"C'est un bon leader, mais parfois il ne communique pas clairement.",No,good,,leadership sometimes good clearly communicate,0,5,-1,9,0
23,"Good leadership. Sometimes lacking in communication. Overall, I feel satisfied.",Regular team-building activities,Communication is the key to building an inclusive environment.,No,leadership sometimes good feel communication satisfied lack overall,teambuilding activity regular,key environment communication build inclusive,0,9,8,2,0
24,"I can't with the underpay! He's good, but the company should do something.",Supportive management,,Yes,good underway cant company,management supportive,,1,2,4,-1,1
25,"He's just...you know...okay? I guess? It's like he's there, but not really there.",,"Diversity should be celebrated, and we can start by acknowledging different cultural holidays and traditions.",Yes,like knowokay guess justyou,,holiday cultural celebrate start tradition different diversity acknowledge,1,1,-1,3,1
26,,Teamwork and collaboration,,Yes,,teamwork collaboration,,1,-1,6,-1,1
27,"I have so many things to say, but, you know, it's like, he's okay, he's okay, he's okay, he's okay. Nothing more.",,Creating diverse employee resource groups can foster a more inclusive workplace.,No,say know okay like nothing,,foster resource workplace create employee inclusive group diverse,0,6,-1,5,0
28,"I don't even know where to start. He's absent most of the time and when present, not much useful. I mean, he's okay, but could do more.",Providing professional development opportunities,Diversity training programs should be a part of the onboarding process for all employees.,Yes,present could absent know mean time okay start useful,opportunity development professional provide,process program employee diversity part training boarding,1,8,5,8,1
29,My manager is...good?,,,No,management isgood,,,0,6,-1,-1,0
30,"Supportive and encouraging. Though, would appreciate more clarity on tasks.",Open communication channels,Creating a culture of respect and empathy can foster inclusivity.,Yes,clarity appreciate supportive task encouraging,open channel communication,foster respect culture create inclusivity empathy,1,3,1,7,1
31,"Manager is good, satisfying performance. Expect more collaboration.",Promoting diversity in leadership roles,Promoting a diverse leadership team can set an example for a more inclusive work environment.,Yes,good collaboration performance satisfy management expect,diversity position promote leadership,leadership environment promote set team work example inclusive diverse,1,6,2,9,1
32,,,,No,,,,0,-1,-1,-1,0
33,dfgkhdfgk fdgfdkgj dfkgjdfkg...what was the question again?,Valuing employee feedback,Regular diversity and inclusion training can empower employees to create a more inclusive work environment.,Yes,question fdgfdkgj dfkgjdfkgwhat dfgkhdfgk,value feedback employee,inclusion empower regular environment employee create work diversity inclusive training,1,4,8,6,1
34,"He's very good. Like, very, very, very, very, very good.",Team collaboration,,Yes,good like,team collaboration,,1,5,7,-1,1
35,Strong leadership but I wish there was more personal connection.,,Creating an open forum for employees to share their thoughts on diversity and inclusion can lead to positive change.,No,leadership wish personal strong connection,,open leadership inclusion thought change create share employee forum positive diversity,0,7,-1,6,0
36,,Effective leadership,Diverse mentorship programs can help underrepresented employees advance in their careers and feel more included.,Yes,,leadership effective,feel help program mentorship underrepresented employee advance included career diverse,1,-1,9,4,1
37,"Mon directeur est assez distant, mais il fait son travail.",Supportive team atmosphere,,No,management job distant,team supportive atmosphere,,0,7,1,-1,0
38,He's supportive but can sometimes micromanage things which gets frustrating.,Effective leadership,Providing platforms for employees to share their experiences and suggestions for building an inclusive workplace can be beneficial.,No,sometimes frustrate supportive micromanage get,leadership effective,experience provide beneficial inclusive suggestion build workplace employee share platform,0,9,9,5,0
39,I think he needs to improve his management style. Needs to be more proactive.,,Creating resource groups dedicated to specific aspects of diversity and inclusion can be empowering for employees.,Yes,management proactive style need improve,,inclusion empower aspect resource specific create employee dedicate diversity group,1,9,-1,6,1
40,,Positive work environment,Offering,Yes,,work environment positive,offering,1,-1,5,1,1
41,"My direct manager is very supportive and provides regular feedback. However, I sometimes feel like he doesn't give me the autonomy I need.",Treating employees fairly,,Yes,sometimes feel provide need feedback supportive give direct like management autonomy regular,fairly employee treat,,1,1,2,-1,1
42,Bien. Tout est bon.,,"C'est un bon leader, mais parfois il ne communique pas clairement.",No,good,,leadership sometimes good clearly communicate,0,5,-1,9,0
43,"Good leadership. Sometimes lacking in communication. Overall, I feel satisfied.",Regular team-building activities,Communication is the key to building an inclusive environment.,No,leadership sometimes good feel communication satisfied lack overall,teambuilding activity regular,key environment communication build inclusive,0,9,8,2,0
44,"I can't with the underpay! He's good, but the company should do something.",Supportive management,,Yes,good underway cant company,management supportive,,1,2,4,-1,1
45,"He's just...you know...okay? I guess? It's like he's there, but not really there.",,"Diversity should be celebrated, and we can start by acknowledging different cultural holidays and traditions.",Yes,like knowokay guess justyou,,holiday cultural celebrate start tradition different diversity acknowledge,1,1,-1,3,1
46,,Teamwork and collaboration,,Yes,,teamwork collaboration,,1,-1,6,-1,1
47,"I have so many things to say, but, you know, it's like, he's okay, he's okay, he's okay, he's okay. Nothing more.",,Creating diverse employee resource groups can foster a more inclusive workplace.,No,say know okay like nothing,,foster resource workplace create employee inclusive group diverse,0,6,-1,5,0
48,"My direct manager is very supportive and provides regular feedback. However, I sometimes feel like he doesn't give me the autonomy I need.",Treating employees fairly,,Yes,sometimes feel provide need feedback supportive give direct like management autonomy regular,fairly employee treat,,1,1,2,-1,1
49,Bien. Tout est bon.,,"C'est un bon leader, mais parfois il ne communique pas clairement.",No,good,,leadership sometimes good clearly communicate,0,5,-1,9,0
50,"Good leadership. Sometimes lacking in communication. Overall, I feel satisfied.",Regular team-building activities,Communication is the key to building an inclusive environment.,No,leadership sometimes good feel communication satisfied lack overall,teambuilding activity regular,key environment communication build inclusive,0,9,8,2,0
51,"I can't with the underpay! He's good, but the company should do something.",Supportive management,,Yes,good underway cant company,management supportive,,1,2,4,-1,1
52,"He's just...you know...okay? I guess? It's like he's there, but not really there.",,"Diversity should be celebrated, and we can start by acknowledging different cultural holidays and traditions.",Yes,like knowokay guess justyou,,holiday cultural celebrate start tradition different diversity acknowledge,1,1,-1,3,1
53,,Teamwork and collaboration,,Yes,,teamwork collaboration,,1,-1,6,-1,1
54,"I have so many things to say, but, you know, it's like, he's okay, he's okay, he's okay, he's okay. Nothing more.",,Creating diverse employee resource groups can foster a more inclusive workplace.,No,say know okay like nothing,,foster resource workplace create employee inclusive group diverse,0,6,-1,5,0
55,"I don't even know where to start. He's absent most of the time and when present, not much useful. I mean, he's okay, but could do more.",Providing professional development opportunities,Diversity training programs should be a part of the onboarding process for all employees.,Yes,present could absent know mean time okay start useful,opportunity development professional provide,process program employee diversity part training boarding,1,8,5,8,1
56,My manager is...good?,,,No,management isgood,,,0,6,-1,-1,0
57,"Supportive and encouraging. Though, would appreciate more clarity on tasks.",Open communication channels,Creating a culture of respect and empathy can foster inclusivity.,Yes,clarity appreciate supportive task encouraging,open channel communication,foster respect culture create inclusivity empathy,1,3,1,7,1
58,"Manager is good, satisfying performance. Expect more collaboration.",Promoting diversity in leadership roles,Promoting a diverse leadership team can set an example for a more inclusive work environment.,Yes,good collaboration performance satisfy management expect,diversity position promote leadership,leadership environment promote set team work example inclusive diverse,1,6,2,9,1
59,,,,No,,,,0,-1,-1,-1,0
60,dfgkhdfgk fdgfdkgj dfkgjdfkg...what was the question again?,Valuing employee feedback,Regular diversity and inclusion training can empower employees to create a more inclusive work environment.,Yes,question fdgfdkgj dfkgjdfkgwhat dfgkhdfgk,value feedback employee,inclusion empower regular environment employee create work diversity inclusive training,1,4,8,6,1
61,"He's very good. Like, very, very, very, very, very good.",Team collaboration,,Yes,good like,team collaboration,,1,5,7,-1,1
62,Strong leadership but I wish there was more personal connection.,,Creating an open forum for employees to share their thoughts on diversity and inclusion can lead to positive change.,No,leadership wish personal strong connection,,open leadership inclusion thought change create share employee forum positive diversity,0,7,-1,6,0
63,,Effective leadership,Diverse mentorship programs can help underrepresented employees advance in their careers and feel more included.,Yes,,leadership effective,feel help program mentorship underrepresented employee advance included career diverse,1,-1,9,4,1
64,"Mon directeur est assez distant, mais il fait son travail.",Supportive team atmosphere,,No,management job distant,team supportive atmosphere,,0,7,1,-1,0
65,He's supportive but can sometimes micromanage things which gets frustrating.,Effective leadership,Providing platforms for employees to share their experiences and suggestions for building an inclusive workplace can be beneficial.,No,sometimes frustrate supportive micromanage get,leadership effective,experience provide beneficial inclusive suggestion build workplace employee share platform,0,9,9,5,0
66,I think he needs to improve his management style. Needs to be more proactive.,,Creating resource groups dedicated to specific aspects of diversity and inclusion can be empowering for employees.,Yes,management proactive style need improve,,inclusion empower aspect resource specific create employee dedicate diversity group,1,9,-1,6,1
67,,Positive work environment,Offering,Yes,,work environment positive,offering,1,-1,5,1,1
68,"My direct manager is very supportive and provides regular feedback. However, I sometimes feel like he doesn't give me the autonomy I need.",Treating employees fairly,,Yes,sometimes feel provide need feedback supportive give direct like management autonomy regular,fairly employee treat,,1,1,2,-1,1
69,Bien. Tout est bon.,,"C'est un bon leader, mais parfois il ne communique pas clairement.",No,good,,leadership sometimes good clearly communicate,0,5,-1,9,0
70,"Good leadership. Sometimes lacking in communication. Overall, I feel satisfied.",Regular team-building activities,Communication is the key to building an inclusive environment.,No,leadership sometimes good feel communication satisfied lack overall,teambuilding activity regular,key environment communication build inclusive,0,9,8,2,0
71,"I can't with the underpay! He's good, but the company should do something.",Supportive management,,Yes,good underway cant company,management supportive,,1,2,4,-1,1
72,"He's just...you know...okay? I guess? It's like he's there, but not really there.",,"Diversity should be celebrated, and we can start by acknowledging different cultural holidays and traditions.",Yes,like knowokay guess justyou,,holiday cultural celebrate start tradition different diversity acknowledge,1,1,-1,3,1
73,,Teamwork and collaboration,,Yes,,teamwork collaboration,,1,-1,6,-1,1
74,"I have so many things to say, but, you know, it's like, he's okay, he's okay, he's okay, he's okay. Nothing more.",,Creating diverse employee resource groups can foster a more inclusive workplace.,No,say know okay like nothing,,foster resource workplace create employee inclusive group diverse,0,6,-1,5,0
75,"I don't even know where to start. He's absent most of the time and when present, not much useful. I mean, he's okay, but could do more.",Providing professional development opportunities,Diversity training programs should be a part of the onboarding process for all employees.,Yes,present could absent know mean time okay start useful,opportunity development professional provide,process program employee diversity part training boarding,1,8,5,8,1
76,My manager is...good?,,,No,management isgood,,,0,6,-1,-1,0
77,"Supportive and encouraging. Though, would appreciate more clarity on tasks.",Open communication channels,Creating a culture of respect and empathy can foster inclusivity.,Yes,clarity appreciate supportive task encouraging,open channel communication,foster respect culture create inclusivity empathy,1,3,1,7,1
78,"Manager is good, satisfying performance. Expect more collaboration.",Promoting diversity in leadership roles,Promoting a diverse leadership team can set an example for a more inclusive work environment.,Yes,good collaboration performance satisfy management expect,diversity position promote leadership,leadership environment promote set team work example inclusive diverse,1,6,2,9,1
79,,,,No,,,,0,-1,-1,-1,0
80,dfgkhdfgk fdgfdkgj dfkgjdfkg...what was the question again?,Valuing employee feedback,Regular diversity and inclusion training can empower employees to create a more inclusive work environment.,Yes,question fdgfdkgj dfkgjdfkgwhat dfgkhdfgk,value feedback employee,inclusion empower regular environment employee create work diversity inclusive training,1,4,8,6,1
81,"He's very good. Like, very, very, very, very, very good.",Team collaboration,,Yes,good like,team collaboration,,1,5,7,-1,1
82,Strong leadership but I wish there was more personal connection.,,Creating an open forum for employees to share their thoughts on diversity and inclusion can lead to positive change.,No,leadership wish personal strong connection,,open leadership inclusion thought change create share employee forum positive diversity,0,7,-1,6,0
83,,Effective leadership,Diverse mentorship programs can help underrepresented employees advance in their careers and feel more included.,Yes,,leadership effective,feel help program mentorship underrepresented employee advance included career diverse,1,-1,9,4,1
84,"Mon directeur est assez distant, mais il fait son travail.",Supportive team atmosphere,,No,management job distant,team supportive atmosphere,,0,7,1,-1,0
85,He's supportive but can sometimes micromanage things which gets frustrating.,Effective leadership,Providing platforms for employees to share their experiences and suggestions for building an inclusive workplace can be beneficial.,No,sometimes frustrate supportive micromanage get,leadership effective,experience provide beneficial inclusive suggestion build workplace employee share platform,0,9,9,5,0
86,I think he needs to improve his management style. Needs to be more proactive.,,Creating resource groups dedicated to specific aspects of diversity and inclusion can be empowering for employees.,Yes,management proactive style need improve,,inclusion empower aspect resource specific create employee dedicate diversity group,1,9,-1,6,1
87,,Positive work environment,Offering,Yes,,work environment positive,offering,1,-1,5,1,1
88,"My direct manager is very supportive and provides regular feedback. However, I sometimes feel like he doesn't give me the autonomy I need.",Treating employees fairly,,Yes,sometimes feel provide need feedback supportive give direct like management autonomy regular,fairly employee treat,,1,1,2,-1,1
89,Bien. Tout est bon.,,"C'est un bon leader, mais parfois il ne communique pas clairement.",No,good,,leadership sometimes good clearly communicate,0,5,-1,9,0
90,"Good leadership. Sometimes lacking in communication. Overall, I feel satisfied.",Regular team-building activities,Communication is the key to building an inclusive environment.,No,leadership sometimes good feel communication satisfied lack overall,teambuilding activity regular,key environment communication build inclusive,0,9,8,2,0
91,"I can't with the underpay! He's good, but the company should do something.",Supportive management,,Yes,good underway cant company,management supportive,,1,2,4,-1,1
92,"He's just...you know...okay? I guess? It's like he's there, but not really there.",,"Diversity should be celebrated, and we can start by acknowledging different cultural holidays and traditions.",Yes,like knowokay guess justyou,,holiday cultural celebrate start tradition different diversity acknowledge,1,1,-1,3,1
93,,Teamwork and collaboration,,Yes,,teamwork collaboration,,1,-1,6,-1,1
94,"I have so many things to say, but, you know, it's like, he's okay, he's okay, he's okay, he's okay. Nothing more.",,Creating diverse employee resource groups can foster a more inclusive workplace.,No,say know okay like nothing,,foster resource workplace create employee inclusive group diverse,0,6,-1,5,0
95,"I don't even know where to start. He's absent most of the time and when present, not much useful. I mean, he's okay, but could do more.",Providing professional development opportunities,Diversity training programs should be a part of the onboarding process for all employees.,Yes,present could absent know mean time okay start useful,opportunity development professional provide,process program employee diversity part training boarding,1,8,5,8,1
96,My manager is...good?,,,No,management isgood,,,0,6,-1,-1,0
97,"Supportive and encouraging. Though, would appreciate more clarity on tasks.",Open communication channels,Creating a culture of respect and empathy can foster inclusivity.,Yes,clarity appreciate supportive task encouraging,open channel communication,foster respect culture create inclusivity empathy,1,3,1,7,1
98,"Manager is good, satisfying performance. Expect more collaboration.",Promoting diversity in leadership roles,Promoting a diverse leadership team can set an example for a more inclusive work environment.,Yes,good collaboration performance satisfy management expect,diversity position promote leadership,leadership environment promote set team work example inclusive diverse,1,6,2,9,1
99,,,,No,,,,0,-1,-1,-1,0
100,dfgkhdfgk fdgfdkgj dfkgjdfkg...what was the question again?,Valuing employee feedback,Regular diversity and inclusion training can empower employees to create a more inclusive work environment.,Yes,question fdgfdkgj dfkgjdfkgwhat dfgkhdfgk,value feedback employee,inclusion empower regular environment employee create work diversity inclusive training,1,4,8,6,1
